year,name,team,avg,game,pa,ab,run,hit,b2,b3,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,xbh,go,ao,goao,gw,bbk,isop,xr,gpa
2016,이택근,넥센,0.309,127,460,398,64,123,19,1,8,168,65,0,6,53,1,3,56,11,0.422,0.389,0.811,32,0.345,28,116,109,1.06,8,0.95,3.86,0.113,65.6
2016,나지완,KIA,0.308,118,486,380,84,117,21,2,25,217,90,0,4,85,1,17,90,8,0.571,0.451,1.022,32,0.304,48,62,115,0.54,8,0.94,4.18,0.263,96.5
2016,히메네스,LG,0.308,135,579,523,101,161,36,0,26,275,102,1,6,39,2,10,67,8,0.526,0.363,0.889,40,0.304,62,117,184,0.64,7,0.58,3.67,0.218,95.9
2016,에반스,두산,0.308,118,481,400,69,123,31,0,24,226,81,0,7,69,0,5,90,10,0.565,0.41,0.975,33,0.266,55,72,122,0.59,10,0.77,4.24,0.258,89.3
2016,박석민,NC,0.307,126,506,427,77,131,20,0,32,247,104,2,4,56,2,16,95,18,0.578,0.404,0.982,39,0.354,52,98,107,0.92,9,0.59,4.14,0.272,92.1
2016,김민성,넥센,0.306,141,579,510,76,156,39,5,17,256,90,1,12,53,3,3,89,15,0.502,0.367,0.869,47,0.298,61,112,165,0.68,3,0.6,4.18,0.196,90.1
2016,이종욱,NC,0.305,134,517,453,73,138,24,4,5,185,57,4,5,54,0,1,73,11,0.408,0.376,0.784,40,0.315,33,124,123,1.01,3,0.74,4.2,0.104,70.6
2016,이승엽,삼성,0.303,142,623,542,91,164,32,2,27,281,118,0,8,65,1,8,89,7,0.518,0.38,0.898,47,0.33,61,130,167,0.78,13,0.73,3.86,0.216,106.1
2016,박해민,삼성,0.3,141,641,564,109,169,26,12,4,231,61,22,3,49,2,3,87,6,0.41,0.357,0.767,51,0.299,42,145,166,0.87,4,0.56,3.82,0.11,86.0
2016,이호준,NC,0.298,119,472,399,46,119,20,0,21,202,87,2,4,65,6,2,78,11,0.506,0.396,0.902,33,0.342,41,114,92,1.24,12,0.83,4.14,0.208,77.4
2016,대니돈,넥센,0.295,129,497,417,65,123,33,1,16,206,70,1,4,70,4,5,72,8,0.494,0.399,0.893,34,0.297,50,83,143,0.58,7,0.97,3.91,0.199,81.2
2016,서동욱,KIA,0.292,124,485,411,73,120,30,3,16,204,67,6,3,60,1,5,108,8,0.496,0.386,0.882,31,0.308,49,84,102,0.82,6,0.56,4.08,0.204,76.9
2016,이재원,SK,0.29,130,472,411,49,119,15,0,15,179,64,2,7,43,3,9,76,15,0.436,0.364,0.8,33,0.25,30,99,124,0.8,4,0.57,3.66,0.146,63.1
2016,최정,SK,0.288,141,606,500,106,144,24,1,40,290,106,0,6,77,2,23,126,6,0.58,0.403,0.983,42,0.278,65,87,149,0.58,6,0.61,4.04,0.292,115.7
2016,백상원,삼성,0.288,132,517,445,60,128,19,3,3,162,49,10,7,51,0,4,69,15,0.364,0.361,0.725,33,0.311,25,143,112,1.28,2,0.74,3.65,0.076,60.2
2016,허경민,두산,0.286,144,609,538,96,154,24,4,7,207,81,6,2,49,1,14,58,14,0.385,0.36,0.745,43,0.321,35,179,149,1.2,11,0.84,3.64,0.099,72.3
2016,고메즈,SK,0.283,117,492,456,74,129,31,0,21,223,62,2,4,25,2,5,87,11,0.489,0.324,0.813,39,0.297,52,107,137,0.78,4,0.29,3.6,0.206,68.8
2016,김하성,넥센,0.281,144,599,526,92,148,29,7,20,251,84,2,5,60,2,6,80,7,0.477,0.358,0.835,36,0.315,56,103,200,0.52,4,0.75,4.12,0.196,90.1
2016,오지환,LG,0.28,121,472,393,73,110,14,5,20,194,78,2,5,65,0,7,97,7,0.494,0.387,0.881,29,0.266,39,101,90,1.12,3,0.67,4.22,0.214,77.3
2016,박정권,SK,0.277,125,468,422,59,117,17,3,18,194,59,2,4,35,0,5,99,7,0.46,0.337,0.797,34,0.243,38,101,109,0.93,5,0.35,3.81,0.182,65.8
2016,오재원,두산,0.272,122,484,416,68,113,18,1,5,148,58,3,6,54,1,5,82,10,0.356,0.358,0.714,25,0.33,24,119,108,1.1,6,0.66,4.08,0.084,55.5
2016,양성우,한화,0.271,108,446,384,52,104,12,4,4,136,53,8,6,39,0,9,67,6,0.354,0.347,0.701,27,0.318,20,117,102,1.15,5,0.58,3.81,0.083,51.7
2016,김호령,KIA,0.267,124,514,453,72,121,18,3,8,169,41,13,2,36,0,10,104,7,0.373,0.333,0.706,32,0.221,29,114,116,0.98,1,0.35,3.85,0.106,57.4
2016,박동원,넥센,0.248,127,454,411,44,102,25,1,14,171,70,6,3,27,0,7,93,18,0.416,0.304,0.72,26,0.25,40,117,102,1.15,8,0.29,3.65,0.168,48.1
2017,최주환,두산,0.301,129,452,399,65,120,16,6,7,169,57,1,5,38,1,9,58,10,0.424,0.37,0.794,31,0.308,29,108,118,0.92,3,0.66,3.95,0.123,61.7
2017,나지완,KIA,0.301,137,551,459,85,138,20,3,27,245,94,0,7,62,0,23,105,10,0.534,0.405,0.939,37,0.294,50,91,132,0.69,6,0.59,3.93,0.233,98.3
2017,스크럭스,NC,0.3,115,518,437,91,131,24,0,35,260,111,0,4,65,2,12,134,9,0.595,0.402,0.997,38,0.305,59,92,84,1.1,13,0.49,4.27,0.295,99.9
2017,에반스,두산,0.296,138,581,514,82,152,19,0,27,252,90,0,3,61,0,3,114,15,0.49,0.372,0.862,45,0.291,46,104,147,0.71,9,0.54,3.97,0.195,89.7
2017,김문호,롯데,0.292,131,448,390,49,114,17,1,2,139,35,7,1,37,4,13,73,5,0.356,0.372,0.728,29,0.258,20,121,83,1.46,2,0.51,3.82,0.064,53.5
2017,나주환,SK,0.291,122,452,419,69,122,24,1,19,205,65,8,1,19,3,5,85,15,0.489,0.329,0.818,38,0.366,44,99,114,0.87,8,0.22,3.88,0.198,59.3
2017,최준석,롯데,0.291,125,464,409,43,119,15,0,14,176,82,0,5,49,0,1,89,24,0.43,0.364,0.794,32,0.328,29,120,86,1.4,10,0.55,4.19,0.139,59.1
2017,권희동,NC,0.286,141,554,472,72,135,20,2,19,216,86,7,7,51,1,17,90,12,0.458,0.371,0.829,41,0.333,41,120,134,0.9,9,0.57,4.11,0.172,80.8
2017,강민호,롯데,0.285,130,515,456,62,130,22,1,22,220,68,0,3,41,6,15,104,15,0.482,0.361,0.843,38,0.27,45,124,101,1.23,5,0.39,3.86,0.197,74.3
2017,하주석,한화,0.285,111,470,432,69,123,18,8,11,190,52,9,1,23,0,5,83,6,0.44,0.328,0.768,34,0.313,37,145,82,1.77,6,0.28,3.49,0.155,59.0
2017,박해민,삼성,0.284,144,638,570,96,162,25,8,7,224,54,8,9,50,0,1,78,6,0.393,0.338,0.731,49,0.293,40,171,168,1.02,4,0.64,3.91,0.109,82.2
2017,김민성,넥센,0.282,133,530,472,59,133,26,1,15,206,78,0,8,43,2,7,93,15,0.436,0.345,0.781,38,0.288,42,104,150,0.69,9,0.46,4.18,0.155,69.5
2017,이승엽,삼성,0.28,135,533,472,65,132,30,5,24,244,87,0,8,47,6,6,85,7,0.517,0.347,0.864,40,0.244,59,107,156,0.69,9,0.55,3.92,0.237,84.3
2017,이범호,KIA,0.272,115,447,382,57,104,14,0,25,193,89,0,6,52,3,7,81,9,0.505,0.365,0.87,30,0.317,39,86,117,0.74,4,0.64,3.94,0.233,71.6
2017,이원석,삼성,0.265,121,459,411,55,109,20,1,18,185,62,4,6,34,2,4,80,4,0.45,0.323,0.773,27,0.262,39,99,129,0.77,2,0.43,3.97,0.185,62.5
2017,양석환,LG,0.263,132,496,445,62,117,27,3,14,192,83,2,5,38,2,6,93,13,0.431,0.326,0.757,31,0.336,44,77,163,0.47,6,0.41,4.04,0.169,59.2
2017,박경수,KT,0.262,131,511,442,62,116,27,1,15,190,66,3,3,57,4,6,118,14,0.43,0.352,0.782,30,0.291,43,89,122,0.73,3,0.48,4.41,0.167,64.6
2017,최주환,두산,0.301,129,452,399,65,120,16,6,7,169,57,1,5,38,1,9,58,10,0.424,0.37,0.794,31,0.308,29,108,118,0.92,3,0.66,3.95,0.123,61.7
2017,나지완,KIA,0.301,137,551,459,85,138,20,3,27,245,94,0,7,62,0,23,105,10,0.534,0.405,0.939,37,0.294,50,91,132,0.69,6,0.59,3.93,0.233,98.3
2017,스크럭스,NC,0.3,115,518,437,91,131,24,0,35,260,111,0,4,65,2,12,134,9,0.595,0.402,0.997,38,0.305,59,92,84,1.1,13,0.49,4.27,0.295,99.9
2017,에반스,두산,0.296,138,581,514,82,152,19,0,27,252,90,0,3,61,0,3,114,15,0.49,0.372,0.862,45,0.291,46,104,147,0.71,9,0.54,3.97,0.195,89.7
2017,김문호,롯데,0.292,131,448,390,49,114,17,1,2,139,35,7,1,37,4,13,73,5,0.356,0.372,0.728,29,0.258,20,121,83,1.46,2,0.51,3.82,0.064,53.5
2017,나주환,SK,0.291,122,452,419,69,122,24,1,19,205,65,8,1,19,3,5,85,15,0.489,0.329,0.818,38,0.366,44,99,114,0.87,8,0.22,3.88,0.198,59.3
2017,최준석,롯데,0.291,125,464,409,43,119,15,0,14,176,82,0,5,49,0,1,89,24,0.43,0.364,0.794,32,0.328,29,120,86,1.4,10,0.55,4.19,0.139,59.1
2017,권희동,NC,0.286,141,554,472,72,135,20,2,19,216,86,7,7,51,1,17,90,12,0.458,0.371,0.829,41,0.333,41,120,134,0.9,9,0.57,4.11,0.172,80.8
2017,강민호,롯데,0.285,130,515,456,62,130,22,1,22,220,68,0,3,41,6,15,104,15,0.482,0.361,0.843,38,0.27,45,124,101,1.23,5,0.39,3.86,0.197,74.3
2017,하주석,한화,0.285,111,470,432,69,123,18,8,11,190,52,9,1,23,0,5,83,6,0.44,0.328,0.768,34,0.313,37,145,82,1.77,6,0.28,3.49,0.155,59.0
2017,박해민,삼성,0.284,144,638,570,96,162,25,8,7,224,54,8,9,50,0,1,78,6,0.393,0.338,0.731,49,0.293,40,171,168,1.02,4,0.64,3.91,0.109,82.2
2017,김민성,넥센,0.282,133,530,472,59,133,26,1,15,206,78,0,8,43,2,7,93,15,0.436,0.345,0.781,38,0.288,42,104,150,0.69,9,0.46,4.18,0.155,69.5
2017,이승엽,삼성,0.28,135,533,472,65,132,30,5,24,244,87,0,8,47,6,6,85,7,0.517,0.347,0.864,40,0.244,59,107,156,0.69,9,0.55,3.92,0.237,84.3
2017,이범호,KIA,0.272,115,447,382,57,104,14,0,25,193,89,0,6,52,3,7,81,9,0.505,0.365,0.87,30,0.317,39,86,117,0.74,4,0.64,3.94,0.233,71.6
2017,이원석,삼성,0.265,121,459,411,55,109,20,1,18,185,62,4,6,34,2,4,80,4,0.45,0.323,0.773,27,0.262,39,99,129,0.77,2,0.43,3.97,0.185,62.5
2017,양석환,LG,0.263,132,496,445,62,117,27,3,14,192,83,2,5,38,2,6,93,13,0.431,0.326,0.757,31,0.336,44,77,163,0.47,6,0.41,4.04,0.169,59.2
2017,박경수,KT,0.262,131,511,442,62,116,27,1,15,190,66,3,3,57,4,6,118,14,0.43,0.352,0.782,30,0.291,43,89,122,0.73,3,0.48,4.41,0.167,64.6
2018,박용택,LG,0.303,134,583,524,89,159,38,1,15,244,76,0,7,47,0,5,107,21,0.466,0.362,0.828,48,0.285,54,128,137,0.93,10,0.44,3.9,0.162,80.9
2018,이명기,KIA,0.302,120,502,447,88,135,28,6,4,187,42,11,1,40,3,3,64,5,0.418,0.363,0.781,41,0.246,38,162,87,1.86,2,0.63,3.8,0.116,65.9
2018,이원석,삼성,0.301,128,543,479,74,144,30,1,20,236,93,0,5,52,1,7,103,10,0.493,0.374,0.867,39,0.302,51,98,139,0.71,5,0.5,4.05,0.192,84.8
2018,김헌곤,삼성,0.3,141,586,513,77,154,26,2,11,217,71,5,4,54,1,10,70,13,0.423,0.375,0.798,46,0.319,39,162,131,1.24,4,0.77,3.91,0.123,80.9
2018,박해민,삼성,0.299,144,649,576,114,172,30,10,9,249,68,8,6,56,0,3,99,9,0.432,0.36,0.792,53,0.339,49,144,167,0.86,8,0.57,4.1,0.134,91.9
