연도,선수이름,팀,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,팀아이디,선수아이디,팀승률,팀순위
2015,김태균,10,0.316,133,524,408,61,129,28,0,21,220,104,1,5,98,12,12,80,19,0.539,0.457,0.996,30,0.353,49,120,84,1.43,11,1.23,4.24,0.223,96.1,t1510,18,0.472,6
2015,박용택,4,0.326,128,533,487,66,159,28,2,18,245,83,1,7,34,1,4,73,12,0.503,0.37,0.873,50,0.35700000000000004,48,127,135,0.94,10,0.47,3.77,0.177,85.3,t1504,8,0.451,9
2015,오지환,4,0.278,138,566,497,76,138,41,4,11,220,56,3,3,59,1,4,121,2,0.443,0.35700000000000004,0.8,39,0.264,56,117,124,0.94,9,0.49,4.29,0.165,80.4,t1504,45,0.451,9
2015,김현수,3,0.326,141,630,512,103,167,26,0,28,277,121,0,9,101,12,8,63,13,0.541,0.438,0.979,50,0.333,54,146,145,1.01,13,1.6,3.72,0.215,118.9,t1503,10,0.5489999999999999,1
2015,양의지,3,0.326,132,513,442,70,144,27,0,20,231,93,2,6,39,3,24,64,7,0.523,0.405,0.928,45,0.28300000000000003,47,81,159,0.51,12,0.61,3.78,0.197,89.9,t1503,11,0.5489999999999999,1
2015,허경민,3,0.317,117,453,404,64,128,20,2,1,155,41,8,3,31,0,7,42,11,0.384,0.373,0.757,36,0.274,23,136,101,1.35,1,0.74,3.66,0.067,56.0,t1503,16,0.5489999999999999,1
2015,김재호,3,0.307,133,488,410,63,126,24,3,3,165,50,14,7,54,0,3,42,18,0.402,0.386,0.7879999999999999,33,0.306,30,101,148,0.68,6,1.29,3.85,0.095,63.3,t1503,22,0.5489999999999999,1
2015,민병헌,3,0.303,129,561,491,80,149,20,2,12,209,75,6,6,50,0,8,74,15,0.426,0.373,0.799,47,0.32299999999999995,34,131,143,0.92,6,0.68,3.78,0.122,76.8,t1503,25,0.5489999999999999,1
2015,정수빈,3,0.295,128,570,491,79,145,27,7,2,192,59,19,6,43,1,11,70,9,0.391,0.361,0.752,42,0.32,36,172,110,1.56,5,0.61,3.78,0.096,70.1,t1503,30,0.5489999999999999,1
2015,오재원,3,0.28,120,474,411,60,115,20,2,11,172,59,7,4,47,1,4,94,9,0.418,0.35600000000000004,0.774,27,0.293,33,108,98,1.1,6,0.5,4.15,0.139,64.6,t1503,43,0.5489999999999999,1
